city,Latitude,Longitude,time_iso8601,weather_code_wmo_code,temperature_2m_max_deg_C,temperature_2m_min_deg_C,temperature_2m_mean_deg_C,apparent_temperature_max_deg_C,apparent_temperature_min_deg_C,apparent_temperature_mean_deg_C,sunrise_iso8601,sunset_iso8601,daylight_duration_s,sunshine_duration_s,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours_h,wind_speed_10m_max_km_per_h,wind_gusts_10m_max_km_per_h,wind_direction_10m_dominant_deg_,shortwave_radiation_sum_MJ_per_msq,et0_fao_evapotranspiration_mm
Düsseldorf,51.2254018,6.7763137,2024-01-01,61,8.3,6.2,7.0,3.2,1.6,2.4,2024-01-01T07:37,2024-01-01T15:35,28699.64,13963.24,4.2,4.2,0.0,14.0,29.2,51.5,219,2.43,0.86
Düsseldorf,51.2254018,6.7763137,2024-01-02,63,11.5,7.0,9.8,8.0,2.3,5.5,2024-01-02T07:36,2024-01-02T15:36,28769.25,2551.11,23.1,23.1,0.0,21.0,35.9,68.8,208,0.78,0.62
Düsseldorf,51.2254018,6.7763137,2024-01-03,55,10.2,7.5,8.9,5.8,3.2,4.4,2024-01-03T07:36,2024-01-03T15:37,28844.58,13357.41,8.7,8.7,0.0,17.0,32.7,59.0,237,2.23,0.69
Düsseldorf,51.2254018,6.7763137,2024-01-04,53,8.0,5.1,7.0,4.5,2.3,3.4,2024-01-04T07:36,2024-01-04T15:38,28925.5,3863.98,4.4,4.4,0.0,15.0,24.2,45.0,247,1.15,0.28
Düsseldorf,51.2254018,6.7763137,2024-01-05,55,8.1,5.7,7.2,3.7,1.8,2.8,2024-01-05T07:36,2024-01-05T15:39,29011.85,5136.24,2.1,2.1,0.0,10.0,23.9,45.0,192,1.3,0.65
Düsseldorf,51.2254018,6.7763137,2024-01-06,51,6.5,1.7,3.8,4.0,-1.9,0.5,2024-01-06T07:36,2024-01-06T15:40,29103.47,0.0,1.1,1.1,0.0,10.0,13.1,25.6,330,0.67,0.21
Düsseldorf,51.2254018,6.7763137,2024-01-07,51,2.0,-2.3,0.2,-1.8,-7.4,-4.8,2024-01-07T07:35,2024-01-07T15:42,29200.23,3742.22,0.4,0.4,0.0,3.0,21.7,39.6,30,2.19,0.54
Düsseldorf,51.2254018,6.7763137,2024-01-08,3,-1.3,-4.9,-2.9,-7.5,-10.2,-8.6,2024-01-08T07:35,2024-01-08T15:43,29301.95,18657.08,0.0,0.0,0.0,0.0,23.4,42.5,42,3.74,0.81
Düsseldorf,51.2254018,6.7763137,2024-01-09,0,-0.2,-5.8,-3.9,-5.9,-10.9,-9.3,2024-01-09T07:34,2024-01-09T15:44,29408.48,24323.23,0.0,0.0,0.0,0.0,17.1,32.0,40,4.91,0.94
Düsseldorf,51.2254018,6.7763137,2024-01-10,2,2.1,-5.7,-3.1,-2.2,-11.0,-7.5,2024-01-10T07:34,2024-01-10T15:46,29519.68,24261.69,0.0,0.0,0.0,0.0,11.2,19.1,77,4.53,0.66
Düsseldorf,51.2254018,6.7763137,2024-01-11,3,0.6,-5.7,-2.8,-4.1,-10.0,-6.7,2024-01-11T07:33,2024-01-11T15:47,29635.39,24398.7,0.0,0.0,0.0,0.0,11.2,22.3,355,4.72,0.46
Düsseldorf,51.2254018,6.7763137,2024-01-12,51,2.1,-1.2,0.4,-1.3,-4.0,-2.6,2024-01-12T07:33,2024-01-12T15:48,29755.44,0.0,0.3,0.3,0.0,3.0,8.3,16.6,258,1.39,0.21
Düsseldorf,51.2254018,6.7763137,2024-01-13,51,2.6,-0.1,1.2,-2.0,-3.7,-3.0,2024-01-13T07:32,2024-01-13T15:50,29879.96,0.0,0.2,0.2,0.0,2.0,19.0,33.5,246,0.94,0.19
Düsseldorf,51.2254018,6.7763137,2024-01-14,73,1.6,-0.2,0.5,-3.5,-5.7,-4.5,2024-01-14T07:31,2024-01-14T15:51,30010.3,0.0,2.2,0.6,1.12,12.0,22.1,38.9,248,1.1,0.27
Düsseldorf,51.2254018,6.7763137,2024-01-15,73,2.5,-0.9,0.6,-2.9,-6.0,-4.7,2024-01-15T07:30,2024-01-15T15:53,30146.44,3277.99,3.4,0.2,2.24,13.0,25.5,48.2,265,2.44,0.39
Düsseldorf,51.2254018,6.7763137,2024-01-16,75,0.9,-4.2,-1.4,-3.7,-8.4,-6.0,2024-01-16T07:30,2024-01-16T15:54,30288.08,16279.84,3.0,0.0,2.1,5.0,17.5,30.6,230,3.86,0.41
Düsseldorf,51.2254018,6.7763137,2024-01-17,75,0.2,-4.5,-2.1,-3.7,-8.9,-6.3,2024-01-17T07:29,2024-01-17T15:56,30434.91,0.0,6.8,0.0,4.76,12.0,15.6,26.6,121,0.89,0.24
Düsseldorf,51.2254018,6.7763137,2024-01-18,73,0.7,-7.1,-3.2,-2.9,-11.6,-7.0,2024-01-18T07:28,2024-01-18T15:57,30586.65,25765.13,1.3,0.0,0.91,5.0,13.0,15.8,307,5.77,0.36
Düsseldorf,51.2254018,6.7763137,2024-01-19,3,-0.2,-8.0,-3.2,-4.0,-12.6,-7.2,2024-01-19T07:27,2024-01-19T15:59,30743.0,25581.71,0.0,0.0,0.0,0.0,13.2,23.0,212,5.25,0.33
Düsseldorf,51.2254018,6.7763137,2024-01-20,3,-1.7,-7.2,-4.3,-5.9,-11.9,-9.0,2024-01-20T07:26,2024-01-20T16:01,30903.68,25467.09,0.0,0.0,0.0,0.0,21.4,36.4,150,5.88,0.45
Düsseldorf,51.2254018,6.7763137,2024-01-21,3,6.4,-2.6,1.5,1.3,-8.6,-3.7,2024-01-21T07:25,2024-01-21T16:02,31068.42,7200.0,0.0,0.0,0.0,0.0,26.2,45.7,160,2.75,0.72
Düsseldorf,51.2254018,6.7763137,2024-01-22,61,11.1,6.6,8.4,5.7,1.1,3.2,2024-01-22T07:24,2024-01-22T16:04,31236.93,17918.84,4.9,4.9,0.0,9.0,37.2,65.5,227,2.61,0.93
Düsseldorf,51.2254018,6.7763137,2024-01-23,53,11.1,4.0,6.7,6.6,-0.4,2.1,2024-01-23T07:22,2024-01-23T16:06,31408.94,14294.41,3.8,3.8,0.0,10.0,29.8,53.6,233,3.36,0.74
Düsseldorf,51.2254018,6.7763137,2024-01-24,51,12.8,7.0,9.9,7.3,3.1,4.9,2024-01-24T07:21,2024-01-24T16:07,31584.21,20103.87,1.2,1.2,0.0,9.0,39.0,78.1,255,4.33,1.25
Düsseldorf,51.2254018,6.7763137,2024-01-25,51,9.1,2.3,6.6,6.3,-0.6,3.8,2024-01-25T07:20,2024-01-25T16:09,31762.47,13458.87,1.3,1.3,0.0,6.0,17.3,31.0,223,3.49,0.47
Düsseldorf,51.2254018,6.7763137,2024-01-26,63,10.9,2.0,7.7,7.2,-1.7,3.8,2024-01-26T07:19,2024-01-26T16:11,31943.47,12278.19,4.8,4.8,0.0,5.0,34.6,63.4,257,2.96,0.7
Düsseldorf,51.2254018,6.7763137,2024-01-27,3,7.7,-1.6,2.3,4.7,-5.3,-1.1,2024-01-27T07:17,2024-01-27T16:13,32126.96,27356.89,0.0,0.0,0.0,0.0,14.3,24.1,176,6.26,0.65
Düsseldorf,51.2254018,6.7763137,2024-01-28,1,9.7,1.1,4.9,5.8,-3.9,-0.3,2024-01-28T07:16,2024-01-28T16:14,32312.7,27553.69,0.0,0.0,0.0,0.0,24.8,42.8,141,6.48,1.54
Düsseldorf,51.2254018,6.7763137,2024-01-29,3,12.4,4.9,7.6,10.6,0.2,4.1,2024-01-29T07:15,2024-01-29T16:16,32500.47,22835.75,0.0,0.0,0.0,0.0,20.7,38.2,146,5.25,1.05
Düsseldorf,51.2254018,6.7763137,2024-01-30,51,12.8,6.2,8.4,10.1,2.7,5.2,2024-01-30T07:13,2024-01-30T16:18,32690.04,4000.2,0.2,0.2,0.0,2.0,19.1,33.5,198,2.44,0.66
Düsseldorf,51.2254018,6.7763137,2024-01-31,51,7.8,3.7,6.0,4.3,-0.5,2.7,2024-01-31T07:12,2024-01-31T16:20,32881.18,4939.03,0.2,0.2,0.0,2.0,18.3,32.0,226,3.08,0.68
Düsseldorf,51.2254018,6.7763137,2024-02-01,61,8.3,1.1,6.2,5.2,-2.0,2.8,2024-02-01T07:10,2024-02-01T16:21,33073.68,25989.18,3.7,3.7,0.0,5.0,21.6,38.5,274,5.92,0.8
